rider_id,rider_name,rider_country,rider_team,rider_age,race_id
171,"André Greipel",Germany,Lotto-Soudal,35,1
172,"Tiesj Benoot",Belgium,Lotto-Soudal,24,1
173,"Jasper De Buyst",Belgium,Lotto-Soudal,24,1
174,"Thomas De Gendt",Belgium,Lotto-Soudal,31,1
175,"Jens Keukeleire",Belgium,Lotto-Soudal,29,1
176,"Tomasz Marczynski",Poland,Lotto-Soudal,34,1
177,"Marcel Sieberg",Germany,Lotto-Soudal,36,1
178,"Jelle Vanendert",Belgium,Lotto-Soudal,33,1
181,"Lilian Calmejane",France,"Direct Énergie",25,1
182,"Thomas Boudat",France,"Direct Énergie",24,1
183,"Sylvain Chavanel",France,"Direct Énergie",39,1
184,"Jérôme Cousin",France,"Direct Énergie",29,1
185,"Damien Gaudin",France,"Direct Énergie",31,1
186,"Fabien Grellier",France,"Direct Énergie",23,1
187,"Romain Sicard",France,"Direct Énergie",30,1
188,"Rein Taaramäe",Estonia,"Direct Énergie",31,1
191,"Bauke Mollema",Netherlands,Trek-Segafredo,31,1
192,"Julien Bernard",France,Trek-Segafredo,26,1
193,"Koen De Kort",Netherlands,Trek-Segafredo,35,1
194,"John Degenkolb",Germany,Trek-Segafredo,29,1
195,"Michael Gogl",Austria,Trek-Segafredo,24,1
196,"Tsgabu Grmay",Ethiopia,Trek-Segafredo,26,1
197,"Toms Skujins",Latvia,Trek-Segafredo,27,1
198,"Jasper Stuyven",Belgium,Trek-Segafredo,26,1
201,"Christophe Laporte",France,Cofidis,25,1
202,"Dimitri Claeys",Belgium,Cofidis,31,1
203,"Nicolas Edet",France,Cofidis,30,1
204,"Jesús Herrada",Spain,Cofidis,27,1
205,"Daniel Navarro",Spain,Cofidis,34,1
206,"Anthony Perez",France,Cofidis,27,1
207,"Julien Simon",France,Cofidis,32,1
208,"Anthony Turgis",France,Cofidis,24,1
211,"Guillaume Martin",France,"Wanty-Groupe Gobert",25,1
212,"Thomas Degand",Belgium,"Wanty-Groupe Gobert",32,1
213,"Timothy Dupont",Belgium,"Wanty-Groupe Gobert",30,1
214,"Marco Minnaard",Netherlands,"Wanty-Groupe Gobert",29,1
215,"Yoann Offredo",France,"Wanty-Groupe Gobert",31,1
216,"Andrea Pasqualon",Italy,"Wanty-Groupe Gobert",30,1
217,"Dion Smith","New Zealand","Wanty-Groupe Gobert",25,1
218,"Guillaume Van Keirsbulck",Belgium,"Wanty-Groupe Gobert",27,1
